nft_number,name,character,movie_tv,description,image,cafe_link,display_label,nft_rec_id,suggest_edit_url,Quotes,Suggested_Edits
39,MF Doom,,,"
Iconic underground rapper, known for his masked persona, intricate wordplay, and influence on hip-hop’s alternative scene.",39_batch_1.svg (https://cdn.xrp.cafe/8df7a4d47528-4a33-8eb7-b392f854eeec901f882ec64b-409d-9cc3-92d3e3102b1f1a5901956c0f-42e5-87bb-08ef803e3879.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6714B7A1205DE4977,NFT #39 — MF Doom,rec38ADyH5D4DUfBA,/suggest-edit?nft_number=39,,
40,Mikki Mase,,,"Widely known as the King of Baccarat, is a professional gambler, entrepreneur, and social media icon celebrated for his mastery of the game and unapologetic lifestyle. Renowned as one of the few individuals ever banned from every major Las Vegas casino, he’s earned a legendary reputation as a fearless and calculated force in the world of high-stakes gambling.",40_batch_1.svg (https://cdn.xrp.cafe/05132ea04181-46c0-972e-a63dfb432eb4d5203fdaa083-4c99-a9b4-5b3eff82a2513e102f900f88-4056-8935-c8981c9c767d.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A688314B1305DE4978,NFT #40,recVvD8zDYdV7MyqX,/suggest-edit?nft_number=40,,
41,John Malkovich,,,"Acclaimed actor, known for his intense performances, distinctive voice, and versatility across film, theater, and television.",41_batch_1.svg (https://cdn.xrp.cafe/0bd8dfbbb915-46c5-96ca-277490a4b948606e86e2fbed-4a21-ac0a-dd03536e4aabfe3b65c442a3-4949-88d8-bcfc9cf62658.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A69F171C1405DE4979,NFT #41 — John Malkovich,rec1t1cKLshCp9TUV,/suggest-edit?nft_number=41,,
42,Drake,,,"Toronto-born rapper and singer, known for breaking Billboard records with hits like “Hotline Bling,” pioneering the blend of rap and R&B, and shaping modern hip-hop culture.
",42_batch_1.svg (https://cdn.xrp.cafe/008700b4f5c8-4cc9-b8c9-5e43e750799315d98c49d27b-4736-b0e4-c60d7b810c0a6a6106ae2fd7-4240-bee4-35a3e8b62855.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6B5FCED1505DE497A,NFT #42 — Drake,recF0uVFv8te4pxkV,/suggest-edit?nft_number=42,,
43,John Wayne,,,,43_batch_1.svg (https://cdn.xrp.cafe/9c9d664eeba2-474d-b53f-530b778e653d39a337c3273e-4ffd-899b-4585b1d921c052a3954b621b-432b-ae45-b7edc888841a.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6CCE2BE1605DE497B,NFT #43 — John Wayne,recmPrQcfBjOsv7jK,/suggest-edit?nft_number=43,"""
Tomorrow is the most important thing in life. Comes into us at midnight very clean.""",
44,Kobe Bryant,,,"NBA legend, known for his “Mamba Mentality,” five championships with the Lakers, and relentless pursuit of greatness.",44_batch_1.svg (https://cdn.xrp.cafe/923f4b530d41-411d-b779-a332e1a9815d927f20e532f4-4aaa-88fe-37a9a2c5bd5493f46b6ff5aa-4108-89b6-74233ff8e177.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6E3C88F1705DE497C,NFT #44 — Kobe Bryant,recf36nDpkCP0Dito,/suggest-edit?nft_number=44,,
45,Marlon Brando,Vito Coreleone,The Godfather,"
The powerful mafia patriarch in The Godfather, known for his calm authority, iconic “offer you can’t refuse,” and role as the family’s godfather.",45_batch_1.svg (https://cdn.xrp.cafe/e6dc4e5a6643-4368-bf0d-a820b9a667295023d3eefc01-4d75-a5fd-ccc96a3341115e528964d8d0-4e5f-926f-2bdea2943e82.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6FAAE601805DE497D,NFT #45 — Marlon Brando as Vito Coreleone (The Godfather),recMgjVaaWOGbWbAo,/suggest-edit?nft_number=45,,
46,Snoop Dogg,,,"Iconic rapper, known for his laid-back flow, West Coast influence, and lasting presence in hip-hop culture.",46_batch_1.svg (https://cdn.xrp.cafe/e990e70b50cd-4f22-9272-2e555071e5896cf0de2a04a7-46c5-834b-e9241a66c829eedca2fd4d72-41d1-96f0-dbcb88b60ba6.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A61194311905DE497E,NFT #46 — Snoop Dogg,rectvpiyxhGgxmz27,/suggest-edit?nft_number=46,,
47,Anonymous,,,,47_batch_1.svg (https://cdn.xrp.cafe/ebcb46a88e6b-461d-8552-f6c26f540c300c8a674f6a7a-4963-927e-fc0e674bc506732b26ece0e3-4163-aada-f7f676acaea0.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6287A021A05DE497F,NFT #47 — Anonymous,rec08ajfo8HqcGftl,/suggest-edit?nft_number=47,,
48,Marco Aurelio,,,"
Roman emperor (161–180 AD), known for writing Meditations, defending the empire against Germanic invasions, and embodying Stoic philosophy as the “philosopher king.”",48_batch_1.svg (https://cdn.xrp.cafe/7e41873a64ad-4cb2-b7e0-f8a213e97ac5fa73c82f725a-451b-b20b-3667fbf41a1b90c4f5214531-43a7-b925-7ab6b8b8e847.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A63F5FD31B05DE4980,NFT #48 — Marco Aurelio,recQ74r7LI8Ha4kE7,/suggest-edit?nft_number=48,,
49,,,,,49_batch_1.svg (https://cdn.xrp.cafe/bbeb996f221b-4270-a5d9-589edcaa0561ddc75f088f2b-44c8-a334-24ed3dd7ed0e3a404019aad1-4d32-b818-304c26781ffc.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A65645A41C05DE4981,NFT #49,receDT0ovyB2HaNf0,/suggest-edit?nft_number=49,,
50,Muhammad Ali,,,"Born Cassius Clay, He was an American boxer, activist, and cultural icon known as
""The Greatest” both in the boxing ring and in fighting for justice outside it.",50_batch_1.svg (https://cdn.xrp.cafe/7082a95d66ae-4b8e-9911-f8ba5b380fb39d760f1d06b6-4e1a-90a1-275b1e87b6dddd752accff8a-44c5-a7de-96fe81e757b8.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A66D2B751D05DE4982,NFT #50 — Muhammad Ali,recon155MEZfjLO3T,/suggest-edit?nft_number=50,"""""""Float like a butterfly, sting like a bee"""".""",
